entity,entity_type,homeland_status
Mbugwe,ethnic_group,resolved
Tsobo,ethnic_group,unresolved
JUKUN,ethnic_group,resolved
Munga Leelau,ethnic_group,unresolved
Jukun,ethnic_group,resolved
KABRE,ethnic_group,resolved
KAMBA,ethnic_group,resolved
Karekare,ethnic_group,resolved
KIKUYU,ethnic_group,resolved
Pangwa,ethnic_group,unresolved
KONKOMBA,ethnic_group,resolved
KWERE,ethnic_group,resolved
RANGI,ethnic_group,resolved
Kaguru,ethnic_group,unresolved
SAGARA,ethnic_group,resolved
Katsinawa,ethnic_group,unresolved
MAGUZAWA,ethnic_group,resolved
Koyaka,ethnic_group,unresolved
VILI,ethnic_group,resolved
Kutu,ethnic_group,unresolved
Kwa,ethnic_group,unresolved
MUMUYE,ethnic_group,resolved
LALA,ethnic_group,resolved
LIPTAKO,ethnic_group,resolved
LOMWE,ethnic_group,resolved
MANGA,ethnic_group,resolved
Woɗaaɓe,ethnic_group,unresolved
Okiek,ethnic_group,unresolved
MBUM,ethnic_group,resolved
Wute,ethnic_group,resolved
Nyika,ethnic_group,unresolved
Rufiji,ethnic_group,unresolved
Sangu,ethnic_group,resolved
Vidunda,ethnic_group,unresolved
MWERA,ethnic_group,resolved
Mwera,ethnic_group,resolved
Ngindo,ethnic_group,resolved
NYASA,ethnic_group,resolved
SANGU,ethnic_group,resolved
PARE,ethnic_group,resolved
Potola,ethnic_group,unresolved
Sembla,ethnic_group,unresolved
TANGALE,ethnic_group,resolved
Waja,ethnic_group,unresolved
Yombe,ethnic_group,resolved
