people_group,country,population,language,longitude,latitude
"Mazahua, Michoacan",Mexico,"35,000","Mazahua, Michoacan",-100.29339,19.72387
"Mazatec, Ayautla",Mexico,"4,500","Mazatec, Ayautla",-96.60034,18.09957
"Mazatec, Chiquihuitlan",Mexico,"2,000","Mazatec, Chiquihuitlan",-96.66588,18.05412
"Mazatec, Huautla",Mexico,"100,000","Mazatec, Huautla",-96.73175,18.23697
"Mazatec, Mazatlan",Mexico,"16,000","Mazatec, Mazatlan",-96.89993,18.08508
"Mazatec, Puebla and Northeastern",Mexico,"33,000","Mazatec, Puebla and Northeastern",-96.94668,18.198061
"Mazatec, San Jeronimo Tecoatl",Mexico,"25,000","Mazatec, San Jeronimo Tecoatl",-96.88332,18.19994
Mennonites,Mexico,"55,000",Plautdietsch,-106.51868,29.05442
"Mixe, Juquila",Mexico,"10,000","Mixe, Juquila",-95.84204,16.8865
"Mixe, North Central",Mexico,"16,000","Mixe, North Central",-95.6667,17.20238
"Mixe, Quetzaltepec",Mexico,"11,000","Mixe, Quetzaltepec",-95.65975,16.93254
"Mixteco, Alcozauca",Mexico,"14,000","Mixtec, Alcozauca",-98.39595,17.37539
"Mixteco, Amoltepec",Mexico,"13,000","Mixtec, Amoltepec",-97.45771,16.65006
"Mixteco, Ayutla",Mexico,"15,000","Mixtec, Ayutla",-98.9916,16.88332
"Mixteco, Chayuco",Mexico,"15,000","Mixtec, Chayuco",-97.80332,16.30954
"Mixteco, Chazumba",Mexico,"4,900","Mixtec, Chazumba",-97.78733,18.15412
"Mixteco, Chigmacatitlan",Mexico,"1,400","Mixtec, Chigmecatitlan",-98.10459,18.6303
"Mixteco, Coatzospan",Mexico,"2,700","Mixtec, Coatzospan",-96.65907,18.12087
"Mixteco, Cuyamecalco",Mexico,"2,400","Mixtec, Cuyamecalco",-96.73135,18.08214
"Mixteco, Ixtayutla",Mexico,"8,300","Mixtec, Ixtayutla",-97.57463,16.57636
"Mixteco, Jamiltepec",Mexico,"13,000","Mixtec, Jamiltepec",-97.84175,16.22575
"Mixteco, Puebla Sur",Mexico,"3,600","Mixtec, Southern Puebla",-97.95722,18.21229
"Mixteco, San Juan Teita",Mexico,400,"Mixtec, San Juan Teita",-97.39526,17.15464
"Mixteco, San Miguel El Grande",Mexico,"5,500","Mixtec, San Miguel el Grande",-97.571112,17.028567
"Mixteco, Santa Maria Zacatepec",Mexico,"3,100","Mixtec, Santa Maria Zacatepec",-97.95358,16.68937
"Mixteco, Silacayoapan",Mexico,"24,000","Mixtec, Silacayoapan",-98.11629,17.55407
"Mixteco, Soyaltepec",Mexico,"1,400","Mixtec, Soyaltepec",-97.19211,17.55605
"Mixteco, Tacahua",Mexico,500,"Mixtec, Tacahua",-97.453354,16.931591
"Mixteco, Tamazola",Mexico,"1,800","Mixtec, Tamazola",-97.09983,17.12577
"Mixteco, Tezoatlan",Mexico,"6,200","Mixtec, Tezoatlan",-97.90325,17.61365
"Mixteco, Tidaa",Mexico,"1,000","Mixtec, Tidaa",-97.348808,17.395363
"Mixteco, Yucuane",Mexico,900,"Mixtec, Yucuane",-97.42845,17.28319
"Nahuatl, Central",Mexico,"99,000","Nahuatl, Central",-98.30017,19.12485
"Nahuatl, Guerrero",Mexico,"201,000","Nahuatl, Guerrero",-99.0855,17.84828
"Nahuatl, Huasteca Este",Mexico,"621,000","Nahuatl, Eastern Huasteca",-97.743817,21.191176
"Nahuatl, Huasteco Oeste",Mexico,"606,000","Nahuatl, Western Huasteca",-98.79713,21.39171
"Nahuatl, Istmo-Cosoleacaque",Mexico,"7,900","Nahuatl, Isthmus-Cosoleacaque",-94.73466,17.94005
"Nahuatl, Istmo-Mecayapan",Mexico,"29,000","Nahuatl, Isthmus-Mecayapan",-94.75751,18.17276
"Nahuatl, Oaxaca Norte",Mexico,"14,000","Nahuatl, Northern Oaxaca",-96.98837,18.18794
"Nahuatl, Puebla Central",Mexico,"21,000","Nahuatl, Central Puebla",-98.12635,18.75453
"Nahuatl, Sierra Negra",Mexico,"30,000","Nahuatl, Sierra Negra",-97.01236,18.43744
"Nahuatl, Tlalitzlipa",Mexico,200,"Nahuatl, Zacatlan-Ahuacatlan-Tepetzintla",-97.797212,20.100039
"Otomi, Mezquital",Mexico,"150,000","Otomi, Mezquital",-99.52286,20.1778
"Otomi, Noreste",Mexico,"51,000","Otomi, Queretaro",-100.12981,20.11562
"Otomi, Sierra Oriental",Mexico,"59,000","Otomi, Eastern Highland",-98.09783,20.59906
"Otomi, Tenango",Mexico,"15,000","Otomi, Tenango",-98.17504,20.42638
"Popoloca, Mezontla",Mexico,"2,800","Popoloca, Mezontla",-97.58798,18.14428
"Popoloca, San Juan Atzingo",Mexico,"7,100","Popoloca, San Juan Atzingo",-97.37755,18.22289
"Popoloca, San Luis Temalacayuca",Mexico,"6,800","Popoloca, San Luis Temalacayuca",-97.54025,18.67934
"Popoluca, Sayula",Mexico,"4,300","Popoluca, Sayula",-94.95308,17.86056
"Popoluca, Sierra",Mexico,"45,000","Popoluca, Highland",-94.91088,18.19804
"Purepecha, Sierra Occidental",Mexico,"222,000","Purepecha, Western Highland",-102.21274,19.41783
Tacaneco,Mexico,"2,000",Mam,-92.14411,15.51124
"Tarahumara, Southeast",Mexico,"7,000","Tarahumara, Southeastern",-106.70616,26.72824
"Tarahumara, Southwest",Mexico,200,"Tarahumara, Southwestern",-107.57815,27.03137
"Tepehua, Pisa Flores",Mexico,"6,200","Tepehua, Pisaflores",-98.0304,20.70384
"Tepehuan, Sureste",Mexico,"13,000","Tepehuan, Southeastern",-103.9944,23.14613
"Totonaca, Filomeno Mata-Coahuitlan",Mexico,"20,000","Totonac, Filomena Mata-Coahuitlan",-97.59312,20.14152
"Totonaca, Sierra",Mexico,"218,000","Totonac, Highland",-97.661999,20.379405
"Totonaca, Yecuatla",Mexico,700,"Totonac, Yecuatla",-96.87408,20.1765
"Triqui, Chicahuaxtla",Mexico,"6,200","Triqui, Chicahuaxtla",-97.85471,17.16278
"Triqui, San Martin Itunyoso",Mexico,"3,600","Triqui, San Martin Itunyoso",-97.91679,17.24215
"Tzotzil, Chamula",Mexico,"184,000",Tzotzil,-92.74571,16.72545
"Tzotzil, Chenalho",Mexico,"53,000",Tzotzil,-92.552,16.83202
"Tzotzil, San Andres Larrainzar",Mexico,"75,000",Tzotzil,-92.79245,16.90153
"Tzotzil, Zinacantan",Mexico,"38,000",Tzotzil,-92.73875,16.63731
"Zapoteco, Albarradas",Mexico,"10,000","Zapotec, Santo Domingo Albarradas",-96.28104,17.03452
"Zapoteco, Aloapam",Mexico,"4,400","Zapotec, Aloapam",-96.74399,17.4114
"Zapoteco, Cajonos",Mexico,"7,300","Zapotec, Cajonos",-96.33652,17.14655
"Zapoteco, El Alto",Mexico,"1,400","Zapotec, El Alto",-96.99874,16.87424
"Zapoteco, Guila",Mexico,"15,000","Zapotec, Guila",-96.45387,16.8818
"Zapoteco, Istmo",Mexico,"131,000","Zapotec, Isthmus",-94.84438,16.45479
"Zapoteco, Lachiruaj",Mexico,"2,700","Zapotec, Yatee",-96.14199,17.33221
"Zapoteco, Loxicha",Mexico,"90,000","Zapotec, Loxicha",-96.65448,15.87953
"Zapoteco, Mitla",Mexico,"35,000","Zapotec, Mitla",-96.29434,16.86849
"Zapoteco, Ocotlan Oeste",Mexico,"22,000","Zapotec, Ocotlan",-96.72642,16.82743
"Zapoteco, Petapa",Mexico,"12,000","Zapotec, Petapa",-95.11178,16.80226
"Zapoteco, Rincon",Mexico,"38,000","Zapotec, Rincon",-96.30423,17.42869
"Zapoteco, Rincon Sur",Mexico,"19,000","Zapotec, Southern Rincon",-96.37764,17.30557
"Zapoteco, San Agustin Mixtepec",Mexico,80,Spanish,-96.33531,16.21912
"Zapoteco, San Vicente Coatlan",Mexico,"4,100","Zapotec, San Vicente Coatlan",-96.86519,16.28105
"Zapoteco, Santa Catarina Albarradas",Mexico,"1,500","Zapotec, Santa Catarina Albarradas",-96.34735,17.0453
"Zapoteco, Santa Ines Yatzechi",Mexico,"3,500","Zapotec, Santa Ines Yatzechi",-96.75421,16.88319
"Zapoteco, Santiago Lapaguia",Mexico,"7,500","Zapotec, Lapaguia-Guivini",-96.1636,16.06761
"Zapoteco, Santiago Xanica",Mexico,"3,900","Zapotec, Santiago Xanica",-96.21859,15.88362
"Zapoteco, Sola de Vega Este",Mexico,"10,000","Zapotec, Lachixio",-96.93756,16.7253
"Zapoteco, Totomachapan",Mexico,"1,500","Zapotec, Totomachapan",-97.08235,16.85537
"Zapoteco, Yalalag",Mexico,"4,200","Zapotec, Yalalag",-96.22522,17.20885
"Zapoteco, Yareni",Mexico,"3,800","Zapotec, Yareni",-96.7052,17.34064
"Zapoteco, Yatzachi",Mexico,"3,900","Zapotec, Yatzachi",-96.27908,17.18906
"Zoque, Copainala",Mexico,"15,000","Zoque, Copainala",-93.31825,17.21575
"Zoque, Rayon",Mexico,"16,000","Zoque, Rayon",-93.10061,17.29533
"Americans, U.S.",Mexico,"512,000",English,-100.309201,25.673211
"Amerindian, Detribalized",Mexico,"13,598,000",Spanish,-99.408896,19.491261
"Amuzgo, Ipalapa",Mexico,"2,200","Amuzgo, Ipalapa",-98.01079,16.49947
"Brazilian, White",Mexico,"5,000",Portuguese,-99.16956,19.453416
"Chinanteco, Lalana",Mexico,"14,000","Chinantec, Lalana",-96.00719,17.56786
"Chinanteco, Lealao",Mexico,"3,100","Chinantec, Lealao",-95.92531,17.31456
"Chinanteco, Ozumacin",Mexico,"4,100","Chinantec, Ozumacin",-96.22489,17.69764
"Chinanteco, Sochiapam",Mexico,"7,900","Chinantec, Sochiapam",-96.60795,17.79855
"Chinanteco, Tlacoatzintepec",Mexico,"2,200","Chinantec, Tlacoatzintepec",-96.51324,17.86245
"Chinanteco, Usila",Mexico,"9,700","Chinantec, Usila",-96.40272,17.92452
"Chinanteco, Valle Nacional",Mexico,600,"Chinantec, Valle Nacional",-96.32294,17.79344
"Ch'ol, Tila",Mexico,"57,000",Chol,-92.46983,17.48982
"Ch'ol, Tumbala",Mexico,"182,000",Chol,-92.26418,17.47679
"Chontal de Oaxaca, Costa",Mexico,"1,400","Chontal, Lowland Oaxaca",-95.68704,15.94799
"Chontal de Oaxaca, Sierra",Mexico,"2,800","Chontal, Highland Oaxaca",-95.73011,16.18489
Cocopa,Mexico,300,Cocopa,-114.98002,32.14841
"Cuicateco, Tepeuxila",Mexico,"11,000","Cuicatec, Tepeuxila",-96.78797,17.75598
Guatemalan White,Mexico,"13,000",Spanish,-99.089215,19.40013
Honduran,Mexico,"12,000",Spanish,-99.145451,19.387421
"Huave, San Francisco del Mar",Mexico,"5,900","Huave, San Francisco del Mar",-94.516754,16.334626
"Huave, Santa Maria del Mar",Mexico,800,"Huave, Santa Maria del Mar",-94.81586,16.21669
"Kanjobal, Eastern",Mexico,"8,500",Q'anjob'al,-92.05,16.12
"Kanjobal, Western",Mexico,"11,000",Akateko,-92.07991,15.5253
Korean,Mexico,"4,500",Korean,-99.074211,19.38216
Lacandon,Mexico,"1,000",Lacandon,-91.42339,17.02169
Mam,Mexico,"11,000",Mam,-92.20177,15.37923
"Matlatzinca, Atzingo",Mexico,100,"Matlatzinca, Atzingo",-99.92393,19.38725
"Maya, Chan Santa Cruz",Mexico,"60,000","Maya, Yucatec",-88.16815,19.34947
"Maya, Yucatan",Mexico,"887,000","Maya, Yucatec",-89.11902,19.66147
Mayo,Mexico,"177,000",Mayo,-109.03013,26.59529
"Mazatec, Jalapa de Diaz",Mexico,"23,000","Mazatec, Jalapa de Diaz",-96.48821,18.0928
Mexican,Mexico,"103,982,000",Spanish,-99.126273,19.41073
"Mixe, Coatlan",Mexico,"8,800","Mixe, Coatlan",-95.46586,16.94037
"Mixe, Istmo",Mexico,"31,000","Mixe, Isthmus",-95.06377,16.9528
"Mixe, Mazatlan",Mexico,"25,000","Mixe, Mazatlan",-95.31175,17.04539
"Mixe, Tlahuitoltepec",Mexico,"7,600","Mixe, Tlahuitoltepec",-96.1193,16.96206
"Mixe, Totontepec",Mexico,"7,100","Mixe, Totontepec",-96.0179,17.21565
"Mixteco, Huitepec",Mexico,"3,100","Mixtec, Huitepec",-97.12428,16.94831
"Mixteco, Itundujia",Mexico,"1,100","Mixtec, Itundujia",-97.554268,16.845703
"Mixteco, Juxtlahuaca",Mexico,"25,000","Mixtec, Juxtlahuaca",-98.00697,17.3795
"Mixteco, Nochixtlan Sureste",Mexico,"5,500","Mixtec, Southeastern Nochixtlan",-97.01454,17.21219
"Mixteco, Penoles",Mexico,"7,200","Mixtec, Penoles",-97.02678,17.0495
"Mixteco, Pinotepa Nacional",Mexico,"31,000","Mixtec, Pinotepa Nacional",-97.9966,16.3043
"Mixteco, San Juan Colorado",Mexico,"10,000","Mixtec, San Juan Colorado",-97.92287,16.39647
"Mixteco, Tlaxiaco Norte",Mexico,"16,000","Mixtec, Northern Tlaxiaco",-97.8349,17.48058
"Mixteco, Yosondua",Mexico,"2,300","Mixtec, Yosondua",-97.50179,16.90424
Mocho,Mexico,100,Mocho,-92.17341,15.45381
"Nahuatl, Coatepec",Mexico,"2,200","Nahuatl, Coatepec",-99.71143,18.31999
"Nahuatl, Istmo-Pajapan",Mexico,"11,000","Nahuatl, Isthmus-Pajapan",-94.66534,18.24668
"Nahuatl, Ometepec",Mexico,700,"Nahuatl, Ometepec",-98.42543,16.77786
"Nahuatl, Puebla Norte",Mexico,"93,000","Nahuatl, Northern Puebla",-97.98141,20.1356
"Nahuatl, Tetelcingo",Mexico,"5,400","Nahuatl, Tetelcingo",-98.89327,18.8861
"Nicaraguan, Mestizo",Mexico,"4,000",Spanish,-99.168239,19.381809
"Otomi, Estado de Mexico",Mexico,"23,000","Otomi, Estado de Mexico",-99.60997,19.87809
"Otomi, Ixtenco",Mexico,"8,000","Otomi, Ixtenco",-98.02718,19.21465
"Otomi, Temoaya",Mexico,"57,000","Otomi, Temoaya",-99.65409,19.6001
Paipai,Mexico,100,Paipai,-115.87053,31.60625
Salvadorians,Mexico,"9,000",Spanish,-99.109806,19.355921
Seri,Mexico,"1,000",Seri,-112.27332,28.98417
"Tepehua, Huehuetla",Mexico,"5,400","Tepehua, Huehuetla",-97.93472,20.61888
"Tepehua, Tlachichilco",Mexico,"4,600","Tepehua, Tlachichilco",-98.19468,20.70402
Tojolabal,Mexico,"45,000",Tojolabal,-91.77272,16.25294
"Totonaca, Ozumatlan",Mexico,"2,100",Totonaco del cerro Xinolatepetl,-97.94864,20.45754
"Totonaca, Patla-Chicontla",Mexico,"4,400","Totonac, Upper Necaxa",-97.84454,20.26355
"Tzeltal, Bachajon",Mexico,"141,000",Tzeltal,-91.72534,16.62055
"Tzeltal, Oxchuc",Mexico,"335,000",Tzeltal,-92.24937,16.6382
"Tzotzil, Huixtan",Mexico,"30,000",Tzotzil,-92.40148,16.54091
Venezualan,Mexico,"11,000",Spanish,-99.12479,19.338519
"Zapoteco, Amatlan",Mexico,"13,000","Zapotec, Amatlan",-96.39781,16.27008
"Zapoteco, Ayoquesco",Mexico,"1,400","Zapotec, Ayoquesco",-96.85754,16.66328
"Zapoteco, Central Sola de Vega",Mexico,"6,100","Zapotec, Texmelucan",-97.09228,16.4941
"Zapoteco, Coatlan",Mexico,700,"Zapotec, Coatlan",-96.76826,16.14634
"Zapoteco, Guevea de Humboldt",Mexico,"5,700","Zapotec, Guevea de Humboldt",-95.35407,16.73803
"Zapoteco, Mazaltepec",Mexico,"3,300","Zapotec, Mazaltepec",-96.8793,17.15415
"Zapoteco, Ozolotepec",Mexico,"10,000","Zapotec, Ozolotepec",-96.36077,16.0602
"Zapoteco, San Baltazar Loxicha",Mexico,"2,300","Zapotec, San Baltazar Loxicha",-96.76197,16.04087
"Zapoteco, Sierra de Juarez",Mexico,"6,200","Zapotec, Sierra de Juarez",-96.61912,17.4219
"Zapoteco, Tabaa",Mexico,"3,000","Zapotec, Tabaa",-96.2773,17.28327
"Zapoteco, Xanaguia",Mexico,"3,900","Zapotec, Xanaguia",-96.18899,15.97082
"Zapoteco, Zaniza",Mexico,"1,200","Zapotec, Zaniza",-97.28758,16.68044
"Zoque, Chimalapa",Mexico,"6,900","Zoque, Chimalapa",-94.69125,16.65428
Japanese,"Micronesia, Federated States",800,Japanese,158.212341,6.95491
Deaf,"Micronesia, Federated States",900,Language unknown,158.213166,6.961764
"Chinese, general","Micronesia, Federated States",500,"Chinese, Mandarin",158.195808,6.970837
Ngatik,"Micronesia, Federated States",500,Ngatik Men's Creole,157.157868,5.788366
Satawalese,"Micronesia, Federated States",500,Satawalese,147.027855,7.379644
Sonsorol,"Micronesia, Federated States",800,Sonsorolese,132.2197,5.326359
"Americans, U.S.","Micronesia, Federated States","1,300",English,158.160107,6.909417
Carolinian,"Micronesia, Federated States","3,000",Carolinian,145.738659,15.220108
Chamorro,"Micronesia, Federated States","1,000",Chamorro,158.194738,6.945694
"Filipino, Tagalog","Micronesia, Federated States",900,Tagalog,158.210653,6.964736
Kapingamarangi,"Micronesia, Federated States","2,700",Kapingamarangi,154.807287,1.082842
Kosraen,"Micronesia, Federated States","6,500",Kosraean,162.97833,5.31274
"Micronesians, English-speaking","Micronesia, Federated States","1,800",English,158.25376,6.83291
Mokilese,"Micronesia, Federated States",800,Mokilese,159.754109,6.66563
Mortlockese,"Micronesia, Federated States","5,900",Mortlockese,152.739176,6.893702
Namonuito,"Micronesia, Federated States",900,Namonuito,150.292282,8.798323
Nukoro,"Micronesia, Federated States",800,Nukuoro,154.973354,3.842154
Paafang,"Micronesia, Federated States","1,300",Paafang,152.036116,8.593408
Pingilapese,"Micronesia, Federated States","2,100",Pingelapese,160.70651,6.2024
Ponapean,"Micronesia, Federated States","23,000",Pohnpeian,158.208317,6.965065
Puluwat,"Micronesia, Federated States","1,400",Puluwatese,149.300342,6.689212
Trukese,"Micronesia, Federated States","43,000",Chuukese,151.57707,7.33204
Ulithian,"Micronesia, Federated States","3,200",Ulithian,139.791225,10.017548
Woleaian,"Micronesia, Federated States","1,700",Woleaian,143.907806,7.374073
Yapese,"Micronesia, Federated States","6,900",Yapese,138.134803,9.555306
Azerbaijani,Moldova,"2,400","Azerbaijani, North",28.841461,47.050739
Bashkir,Moldova,600,Bashkort,28.812434,47.041969
"Jew, Eastern Yiddish-speaking",Moldova,"3,400","Yiddish, Eastern",28.829157,47.030058
Tajik,Moldova,600,Tajik,28.839672,47.013388
Tatar,Moldova,"3,100",Tatar,28.837884,47.029776
"Tatar, Crimean",Moldova,"1,700",Crimean Tatar,28.830944,47.022582
Turk,Moldova,"1,900",Turkish,28.822627,47.019333
"Uzbek, Northern",Moldova,"1,300","Uzbek, Northern",28.867284,47.023672
Chuvash,Moldova,"1,100",Chuvash,28.827961,47.030027
Kazakh,Moldova,"1,000",Kazakh,28.837887,47.020013
Belarusian,Moldova,"18,000",Belarusian,28.835101,47.034925
Bulgarian,Moldova,"51,000",Bulgarian,28.92245,46.72765
Deaf,Moldova,"30,000",Moldova Sign Language,28.694,47.107
Georgian,Moldova,"1,000",Georgian,28.848818,47.025849
Lithuanian,Moldova,900,Lithuanian,28.841062,47.057326
Polish,Moldova,"1,400",Polish,28.849996,47.016362
"Romani, Balkan",Moldova,"9,200","Romani, Balkan",28.35841,45.81822
Russian,Moldova,"110,000",Russian,29.485224,46.819229
Udmurt,Moldova,600,Udmurt,28.84146,47.024621
Armenian,Moldova,"2,600","Armenian, Western",28.84543,47.020964
Gagauzi Turk,Moldova,"124,000",Gagauz,28.71021,46.24137
German,Moldova,"6,700","German, Standard",28.819445,47.025282
Moldavian,Moldova,"3,218,000",Romanian,28.37717,45.52461
Romanian,Moldova,"190,000",Romanian,28.329574,45.477191
Ukrainian,Moldova,"178,000",Ukrainian,28.835907,47.010956
"Jew, French",Monaco,700,French,7.433619,43.748566
Arab,Monaco,200,"Arabic, Moroccan Spoken",7.415859,43.732497
Deaf,Monaco,80,Language unknown,7.42147,43.738215
Flemish,Monaco,400,West Flemish,7.42681,43.741177
French,Monaco,"11,000",French,7.422954,43.738786
Greek,Monaco,300,Greek,7.418272,43.735609
Italian,Monaco,"7,200",Italian,7.415775,43.732107
Ligurian,Monaco,"7,900",Ligurian,7.428922,43.744333
Provencal,Monaco,"7,500",Occitan,7.4334,43.74829
Russian,Monaco,300,Russian,7.423105,43.740462
Spaniard,Monaco,300,Spanish,7.427887,43.742559
British,Monaco,400,English,7.419142,43.733085
German,Monaco,"1,000","German, Standard",7.419126,43.73369
Portuguese,Monaco,700,Portuguese,7.420472,43.731165
Bayad,Mongolia,"65,000","Mongolian, Halh",105.701715,46.177355
"Buriat, Mongolia",Mongolia,"57,000","Buriat, Mongolia",101.58343,50.75214
Dariganga,Mongolia,"31,000","Mongolian, Halh",105.700034,46.178925
Darkhad,Mongolia,"25,000","Mongolian, Halh",99.83682,51.15677
Deaf,Mongolia,"16,000",Mongolian Sign Language,107.5282,48.68518
Dungan,Mongolia,"6,100",Dungan,106.923503,47.924249
"Durbet, Dorwoten",Mongolia,"83,000","Mongolian, Halh",105.698752,46.181149
"Dzakhchin, Zahchin",Mongolia,"38,000","Mongolian, Halh",105.696637,46.177901
"Ewenki, Khamnigan",Mongolia,600,Evenki,107.434,48.84302
"Kalmyk-Oirat, Western Mongol",Mongolia,"261,000",Kalmyk-Oirat,96.12626,48.59894
"Kazakh, Qazaq",Mongolia,"116,000",Kazakh,90.1328,48.34531
Khotogoid,Mongolia,"18,000","Mongolian, Halh",106.854395,47.903975
Khoton,Mongolia,"13,000",Kalmyk-Oirat,91.644805,47.998066
"Mongol, Khalka",Mongolia,"2,297,000","Mongolian, Halh",105.69295,46.17193
Torgud,Mongolia,"16,000",Kalmyk-Oirat,91.637706,47.989125
Tsaatan,Mongolia,300,Tuvan,100.567219,51.623596
"Tuvan, Uriankhai",Mongolia,"43,000",Tuvan,92.249094,50.277094
"Uriankhai, Altai",Mongolia,"31,000","Mongolian, Halh",105.694216,46.175635
Uuld,Mongolia,"8,900","Mongolian, Halh",105.702595,46.173368
Uyghur,Mongolia,500,Uyghur,95.73091,43.76213
"Uzbek, Northern",Mongolia,"26,000","Uzbek, Northern",106.976725,47.917171
Uzemchin,Mongolia,"3,000","Mongolian, Peripheral",107.026436,47.612279
Russian,Mongolia,"2,800",Russian,106.45613,47.83267
"Chinese, general",Mongolia,"45,000","Chinese, Mandarin",106.943659,47.919311
Daur,Mongolia,"2,100",Daur,110.657,47.30203
Ukrainian,Mongolia,"9,800",Ukrainian,106.907116,47.914056
"Americans, U.S.",Mongolia,800,English,106.870616,47.918562
Korean,Mongolia,"1,700",Korean,106.992294,47.917982
Bosniak,Montenegro,"52,000",Bosnian,19.18231,43.21241
"Egyptian, Balkan",Montenegro,"2,000","Albanian, Tosk",19.273163,42.45627
Turk,Montenegro,600,Turkish,19.231313,42.452475
Albanian,Montenegro,"30,000","Albanian, Gheg",19.59918,42.65578
Aromanian,Montenegro,900,Aromanian,19.286087,42.449021
Bulgarian,Montenegro,"1,300",Bulgarian,19.279513,42.45592
Croat,Montenegro,"5,900",Croatian,18.604,42.52807
Deaf,Montenegro,"1,300",Croatian Sign Language,19.213191,42.453033
Macedonian,Montenegro,900,Macedonian,19.263705,42.440532
Montenegrin,Montenegro,"298,000",Serbian,19.263897,42.442115
"Romani, Balkan",Montenegro,"5,100","Romani, Balkan",19.281411,42.442305
Russian,Montenegro,"1,000",Russian,19.258409,42.436403
Serb,Montenegro,"189,000",Serbian,19.3902,43.00299
Slovak,Montenegro,"5,900",Slovak,19.3028,42.56904
Romanian,Montenegro,"3,100",Romanian,19.283054,42.446037
Ruthenian,Montenegro,"1,700",Rusyn,19.250046,42.440344
British,Montserrat,200,English,-62.191,16.74
Montserratans,Montserrat,"4,700",Leeward Caribbean English Creole,-62.19261,16.73558
"Algerian, Arabic-speaking",Morocco,"51,000","Arabic, Algerian Spoken",-6.941882,33.218923
"Arab, Lebanese",Morocco,"559,000","Arabic, North Levantine Spoken",-7.619944,33.574944
"Bedouin, Gil",Morocco,"48,000","Arabic, Algerian Saharan Spoken",-11.097273,28.429371
"Bedouin, Yahia",Morocco,"113,000","Arabic, Algerian Saharan Spoken",-10.966529,28.071539
"Berber, Atta",Morocco,"151,000","Tamazight, Central Atlas",-4.061699,32.615548
"Berber, Drawa",Morocco,"499,000",Tachelhit,-8.181856,30.287989
"Berber, Filala",Morocco,"375,000",Tachelhit,-8.180966,30.288208
"Berber, Ghomara",Morocco,"12,000",Ghomara,-4.6696,34.79792
"Berber, Imazighen",Morocco,"2,797,000","Tamazight, Central Atlas",-4.0699,32.6087
"Berber, Rif",Morocco,"1,571,000",Tarifit,-3.60767,34.74302
"Berber, Senhaja",Morocco,"54,000",Senhaja Berber,-4.568162,34.91654
"Berber, Shawiya",Morocco,"26,000",Tachawit,-1.911025,34.701549
"Berber, Southern Shilha",Morocco,"3,386,000",Tachelhit,-8.18677,30.28138
"Berber, Tekna",Morocco,"624,000",Tachelhit,-8.184731,30.284483
"Berber, Uregu",Morocco,"74,000","Tamazight, Central Atlas",-4.060129,32.611197
"Berber, Warain",Morocco,"325,000","Tamazight, Central Atlas",-4.068449,32.616699
"Berber, Zekara",Morocco,"75,000","Tamazight, Central Atlas",-4.063261,32.615985
Deaf,Morocco,"277,000",Moroccan Sign Language,-7.69607,32.13896
Harratine,Morocco,"57,000","Arabic, Moroccan Spoken",-6.950071,33.218267
Izarguien,Morocco,"18,000","Arabic, Moroccan Spoken",-7.969502,29.747058
Jebala,Morocco,"1,265,000","Arabic, Moroccan Spoken",-5.814952,35.701331
"Jew, Judeo-Moroccan",Morocco,"2,400","Arabic, Judeo-Moroccan",-7.51048,33.454149
Moor,Morocco,"300,000",Hassaniyya,-11.084648,28.439044
"Moroccan, Arabic-speaking",Morocco,"23,940,000","Arabic, Moroccan Spoken",-7.591614,33.574177
Regeibat,Morocco,"39,000","Arabic, Moroccan Spoken",-11.095712,28.430904
Saharawi,Morocco,"162,000","Arabic, Moroccan Spoken",-12.044781,27.876427
Turk,Morocco,"4,100",Turkish,-7.626906,33.591287
Belarusian,Morocco,700,Belarusian,-7.599038,33.58034
French,Morocco,"5,500",French,-7.562509,33.58313
Russian,Morocco,800,Russian,-7.603312,33.561141
Spaniard,Morocco,"6,900",Spanish,-7.54272,32.70231
Gujarati,Mozambique,"45,000",Gujarati,32.556125,-25.938698
Hindi,Mozambique,"45,000",Hindi,32.57046,-25.948678
Koti,Mozambique,"147,000",Koti,39.76024,-16.48229
"Makhuwa, Nahara",Mozambique,"489,000",Makhuwa,40.610023,-14.526626
Makonde,Mozambique,"551,000",Makonde,39.41332,-11.68292
Makwe,Mozambique,"53,000",Makwe,40.32648,-10.75503
Mwani,Mozambique,"153,000",Mwani,40.46007,-12.58208
Swahili,Mozambique,"23,000",Swahili,40.32984,-10.72589
"Yao, Muslim",Mozambique,"197,000",Yao,36.29915,-13.05888
Barwe,Mozambique,"36,000",Barwe,33.42561,-17.69115
Deaf,Mozambique,"312,000",Mozambican Sign Language,34.613,-19.811
Kunda,Mozambique,"12,000",Kunda,30.50188,-15.55076
Lolo,Mozambique,"346,000",Lolo,35.9956,-17.00157
Makhuwa-Marrevone,Mozambique,"459,000",Makhuwa-Marrevone,39.11631,-16.47077
Makhuwa-Moniga,Mozambique,"461,000",Makhuwa-Moniga,38.17429,-17.00842
Makhuwa-Shirima,Mozambique,"765,000",Makhuwa-Shirima,36.55209,-14.24203
Manyika,Mozambique,"153,000",Manyika,33.11816,-18.11835
Matengo,Mozambique,"4,500",Matengo,35.221257,-11.762154
"Ndau, Shona",Mozambique,"765,000",Ndau,33.471673,-19.115727
Ndonde,Mozambique,"9,000",Makonde,39.41332,-11.68292
"Sakaji, Nathembo",Mozambique,"53,000",Nathembo,39.87267,-16.09863
